0	2
2	2
4	2
6	2
8	2
10	2
12	2
14	2
16	2
18	2
20	2
22	2
24	2
26	2
28	2
30	2
32	2
34	2
36	2
38	2
40	2
42	2
44	2
46	2
48	2
50	2
52	2
54	2
56	2
58	2
60	0.54
62	0.54
64	0.54
66	0.54
68	0.54
70	0.54
72	0.54
74	0.54
76	0.54
78	0.54
80	0.54
82	0.54
84	0.54
86	0.54
88	0.54
90	0.54
92	0.54
94	0.54
96	0.54
98	0.54
100	0.54
102	0.54
104	0.54
106	0.54
108	0.54
110	0.54
112	0.54
114	0.54
116	0.54
118	0.54
120	0.54
122	0.54
124	2
126	1.36
128	1.36
130	1.36
132	1.36
134	1.36
136	1.36
138	1.36
140	1.36
142	1.36
144	1.36
146	1.36
148	1.36
150	1.36
152	1.36
154	1.36
156	1.36
158	1.36
160	1.36
162	1.36
164	1.36
166	1.36
168	1.36
170	1.36
172	2
174	2
176	2
178	2
180	2
