0	2
2	2
4	2
6	2
8	2
10	2
12	2
14	2
16	2
18	2
20	2
22	2
24	2
26	2
28	2
30	2
32	2
34	2
36	2
38	2
40	2
42	2
44	2
46	0.63
48	0.63
50	0.63
52	0.63
54	0.63
56	0.63
58	0.63
60	0.63
62	0.63
64	0.63
66	0.63
68	0.63
70	0.63
72	0.63
74	0.63
76	0.63
78	0.63
80	0.63
82	0.63
84	0.63
86	0.63
88	0.63
90	0.63
92	0.63
94	0.63
96	0.63
98	0.63
100	2
102	0.59
104	0.59
106	0.59
108	0.59
110	0.59
112	0.59
114	0.59
116	0.59
118	0.59
120	0.59
122	0.59
124	0.59
126	0.59
128	0.59
130	0.59
132	0.59
134	0.59
136	0.59
138	0.59
140	0.59
142	0.59
144	0.59
146	0.59
148	0.59
150	0.59
152	0.59
154	0.59
156	0.59
158	2
160	2
162	2
164	2
166	2
168	2
170	2
172	2
174	2
176	2
178	2
180	2
